Date,Open,High,Low,Close
05-Sep-18,11514.85,11542.65,11393.85,11476.95
06-Sep-18,11514.15,11562.25,11436.05,11536.9
07-Sep-18,11558.25,11603,11484.4,11589.1
10-Sep-18,11570.25,11573,11427.3,11438.1
11-Sep-18,11476.85,11479.4,11274,11287.5
12-Sep-18,11340.1,11380.75,11250.2,11369.9
14-Sep-18,11443.5,11523.25,11430.55,11515.2
17-Sep-18,11464.95,11464.95,11366.9,11377.75
18-Sep-18,11381.55,11411.45,11268.95,11278.9
19-Sep-18,11326.65,11332.05,11210.9,11234.35
21-Sep-18,11271.3,11346.8,10866.45,11143.1
24-Sep-18,11164.4,11170.15,10943.6,10967.4
25-Sep-18,10969.95,11080.6,10882.85,11067.45
26-Sep-18,11145.55,11145.55,10993.05,11053.8
27-Sep-18,11079.8,11089.45,10953.35,10977.55
28-Sep-18,11008.1,11034.1,10850.3,10930.45
01-Oct-18,10930.9,11035.65,10821.55,11008.3
03-Oct-18,10982.7,10989.05,10843.75,10858.25
04-Oct-18,10754.7,10754.7,10547.25,10599.25
05-Oct-18,10514.1,10540.65,10261.9,10316.45
08-Oct-18,10310.15,10398.35,10198.4,10348.05
09-Oct-18,10390.3,10397.6,10279.35,10301.05
10-Oct-18,10331.85,10482.35,10318.25,10460.1
11-Oct-18,10169.8,10335.95,10138.6,10234.65
12-Oct-18,10331.55,10492.45,10322.15,10472.5
15-Oct-18,10524.2,10526.3,10410.15,10512.5
16-Oct-18,10550.15,10604.9,10525.3,10584.75
17-Oct-18,10688.7,10710.15,10436.45,10453.05
19-Oct-18,10339.7,10380.1,10249.6,10303.55
22-Oct-18,10405.85,10408.55,10224,10245.25
23-Oct-18,10152.6,10222.1,10102.35,10146.8
24-Oct-18,10278.15,10290.65,10126.7,10224.75
25-Oct-18,10135.05,10166.6,10079.3,10124.9
26-Oct-18,10122.35,10128.85,10004.55,10030
29-Oct-18,10078.1,10275.3,10020.35,10250.85
30-Oct-18,10239.4,10285.1,10175.35,10198.4
31-Oct-18,10209.55,10396,10105.1,10386.6
01-Nov-18,10441.7,10441.9,10341.9,10380.45
02-Nov-18,10462.3,10606.95,10457.7,10553
05-Nov-18,10558.75,10558.8,10477,10524
06-Nov-18,10552,10600.25,10491.45,10530
07-Nov-18,10614.45,10616.45,10582.3,10598.4
09-Nov-18,10614.7,10619.55,10544.85,10585.2
12-Nov-18,10607.8,10645.5,10464.05,10482.2
13-Nov-18,10451.9,10596.25,10440.55,10582.5
14-Nov-18,10634.9,10651.6,10532.7,10576.3
15-Nov-18,10580.6,10646.5,10557.5,10616.7
16-Nov-18,10644,10695.15,10631.15,10682.2
19-Nov-18,10731.25,10774.7,10688.8,10763.4
20-Nov-18,10740.1,10740.85,10640.85,10656.2
21-Nov-18,10670.95,10671.3,10562.35,10600.05
22-Nov-18,10612.65,10646.25,10512,10526.75
26-Nov-18,10568.3,10637.8,10489.75,10628.6
27-Nov-18,10621.45,10695.15,10596.35,10685.6
28-Nov-18,10708.75,10757.8,10699.85,10728.85
29-Nov-18,10808.7,10883.05,10782.35,10858.7
30-Nov-18,10892.1,10922.45,10835.1,10876.75
03-Dec-18,10930.7,10941.2,10845.35,10883.75
04-Dec-18,10877.1,10890.95,10833.35,10869.5
05-Dec-18,10820.45,10821.05,10747.95,10782.9
06-Dec-18,10718.15,10722.65,10588.25,10601.15
07-Dec-18,10644.8,10704.55,10599.35,10693.7
10-Dec-18,10508.7,10558.85,10474.95,10488.45
11-Dec-18,10350.05,10567.15,10333.85,10549.15
12-Dec-18,10591,10752.2,10560.8,10737.6
